Locator,Year,Month,Parameter,Value,Units,AveQ (cfs)
0311,1976,Jun,Total Phosphorus,88.02651719259251,ug/L,
0311,1976,Jun,Total Suspended Solids,8.65,mg/L,
0311,1976,Jun,Turbidity,3.25,NTU,
0311,1976,Jun,"pH, Field",6.85,pH,
0311,1976,Jul,Ammonia Nitrogen,57,ug/L,
0311,1976,Jul,Conductivity,145.5,umhos/cm,
0311,1976,Jul,Dissolved Oxygen,8.399999999999999,mg/L,
0311,1976,Jul,Fecal Coliform,44.5,CFU/100ml,
0311,1976,Jul,Nitrite + Nitrate Nitrogen,387.49385,ug/L,
0311,1976,Jul,Temperature,15.149999999999999,deg C,
0311,1976,Jul,Total Phosphorus,134.24661784653122,ug/L,
0311,1976,Jul,Total Suspended Solids,12.3,mg/L,
0311,1976,Jul,Turbidity,2.4,NTU,
0311,1976,Jul,"pH, Field",6.8,pH,
0311,1976,Aug,Ammonia Nitrogen,65,ug/L,
0311,1976,Aug,Conductivity,89,umhos/cm,
0311,1976,Aug,Dissolved Oxygen,8.3,mg/L,
0311,1976,Aug,Fecal Coliform,806.6666666666666,CFU/100ml,
0311,1976,Aug,Nitrite + Nitrate Nitrogen,314.8787,ug/L,
0311,1976,Aug,Temperature,15.166666666666666,deg C,
0311,1976,Aug,Total Phosphorus,171.33337656159165,ug/L,
0311,1976,Aug,Total Suspended Solids,8.15,mg/L,
0311,1976,Aug,Turbidity,5,NTU,
0311,1976,Aug,"pH, Field",6.95,pH,
0311,1976,Sep,Ammonia Nitrogen,47,ug/L,
0311,1976,Sep,Conductivity,89,umhos/cm,
0311,1976,Sep,Dissolved Oxygen,8.600000000000001,mg/L,
0311,1976,Sep,Fecal Coliform,111.5,CFU/100ml,
0311,1976,Sep,Nitrite + Nitrate Nitrogen,191.0918,ug/L,
0311,1976,Sep,Temperature,15.55,deg C,
0311,1976,Sep,Total Phosphorus,155.2534549081345,ug/L,
0311,1976,Sep,Total Suspended Solids,6.4,mg/L,
0311,1976,Sep,Turbidity,2,NTU,
0311,1976,Sep,"pH, Field",7.25,pH,
0311,1976,Oct,Ammonia Nitrogen,78,ug/L,
0311,1976,Oct,Conductivity,109,umhos/cm,
0311,1976,Oct,Dissolved Oxygen,9.149999999999999,mg/L,
0311,1976,Oct,Fecal Coliform,76.5,CFU/100ml,
0311,1976,Oct,Nitrite + Nitrate Nitrogen,369.4619,ug/L,
0311,1976,Oct,Temperature,11.55,deg C,
0311,1976,Oct,Total Phosphorus,103.24623094720397,ug/L,
0311,1976,Oct,Total Suspended Solids,4.5,mg/L,
0311,1976,Oct,Turbidity,2.55,NTU,
0311,1976,Oct,"pH, Field",6.9,pH,
0311,1976,Nov,Ammonia Nitrogen,62,ug/L,
0311,1976,Nov,Conductivity,97.5,umhos/cm,
0311,1976,Nov,Dissolved Oxygen,11.100000000000001,mg/L,
0311,1976,Nov,Fecal Coliform,35,CFU/100ml,
0311,1976,Nov,Nitrite + Nitrate Nitrogen,157.46464999999998,ug/L,
0311,1976,Nov,Temperature,6.25,deg C,
0311,1976,Nov,Total Phosphorus,77.98964873995382,ug/L,
0311,1976,Nov,Total Suspended Solids,2,mg/L,
0311,1976,Nov,Turbidity,2.25,NTU,
0311,1976,Nov,"pH, Field",7.25,pH,
0311,1976,Dec,Ammonia Nitrogen,54,ug/L,
0311,1976,Dec,Conductivity,64,umhos/cm,
0311,1976,Dec,Dissolved Oxygen,11.5,mg/L,
0311,1976,Dec,Fecal Coliform,151,CFU/100ml,
0311,1976,Dec,Nitrite + Nitrate Nitrogen,341.68295,ug/L,
0311,1976,Dec,Temperature,5.949999999999999,deg C,
0311,1976,Dec,Total Phosphorus,114.93115420123331,ug/L,
0311,1976,Dec,Total Suspended Solids,43.6,mg/L,
0311,1976,Dec,Turbidity,15.3,NTU,
0311,1976,Dec,"pH, Field",6.75,pH,
0311,1977,Jan,Ammonia Nitrogen,332,ug/L,
