"","Year","Locator","mg/L"
"841",2001,"A617",11.3
"842",2001,"A620",10.5375
"843",2001,"A630",10.05
"844",2001,"A680",10.575
"845",2001,"A685",11.3
"846",2001,"A690",11.575
"847",2001,"B484",9.2
"848",2001,"C320",10.65
"849",2001,"C370",11.3
"850",2001,"D320",11.2
"851",2001,"G320",10.3
"852",2001,"KSHZ06",11
"853",2001,"KTHA03",11.1
"854",2001,"N484",10.9
"855",2001,"VA12A",NA
"856",2001,"VA41A",NA
"857",2001,"VA42A",NA
"858",2001,"VA45A",NA
"859",2002,"0311",8.5
"860",2002,"0317",5.9
"861",2002,"0321",10.75
"862",2002,"0322",11.425
"863",2002,"0430",10.525
"864",2002,"0434",10.45
"865",2002,"0438",11.5
"866",2002,"0440",11.1
"867",2002,"0442",10.7
"868",2002,"0444",9.6
"869",2002,"0446",10.4
"870",2002,"0470",9.65
"871",2002,"0474",10.85
"872",2002,"0478",10.625
"873",2002,"0484",10.6
"874",2002,"0631",11.35
"875",2002,"A315",8.1
"876",2002,"A320",11.2833333333333
"877",2002,"A432",10.6
"878",2002,"A456",8.9
"879",2002,"A499",10.8
"880",2002,"A617",11.125
"881",2002,"A620",10.625
"882",2002,"A630",9.5
"883",2002,"A680",10.5
"884",2002,"A685",11.6
"885",2002,"A690",11.15
"886",2002,"B484",9.2
"887",2002,"C320",10.425
"888",2002,"C370",11.25
"889",2002,"D320",10.65
"890",2002,"G320",10.8
"891",2002,"KSHZ06",10.95
"892",2002,"KTHA03",10.65
"893",2002,"N484",10.55
"894",2002,"VA12A",NA
"895",2002,"VA41A",NA
"896",2002,"VA42A",NA
"897",2002,"VA45A",NA
"898",2003,"0311",9.6
"899",2003,"0317",6.05
"900",2003,"0321",10.45
"901",2003,"0322",11.35
"902",2003,"0430",10.675
"903",2003,"0434",10.25
"904",2003,"0438",11.1
"905",2003,"0440",11.825
"906",2003,"0442",11.85
"907",2003,"0444",10.0833333333333
"908",2003,"0446",10.5
"909",2003,"0470",9.65
"910",2003,"0474",11.65
"911",2003,"0478",11.05
"912",2003,"0484",10.7
"913",2003,"0631",11.3
"914",2003,"A315",7.99166666666667
"915",2003,"A320",11.2208333333333
"916",2003,"A432",10.7
"917",2003,"A456",9.45
"918",2003,"A499",10.825
"919",2003,"A617",12.05
"920",2003,"A620",11
"921",2003,"A630",10.15
"922",2003,"A680",10.9
