"","Year","Locator","NTU"
"724",1998,"A617",2.925
"725",1998,"A620",1.95
"726",1998,"A630",6.9
"727",1998,"A680",2.9
"728",1998,"A685",2.28333333333333
"729",1998,"A690",1.4
"730",1998,"B484",3.4
"731",1998,"C320",0.9
"732",1998,"C370",3.85
"733",1998,"D320",1.5
"734",1998,"G320",1.8
"735",1998,"KSHZ06",3.3
"736",1998,"KTHA03",1.5
"737",1998,"N484",1.5
"738",1998,"VA12A",NA
"739",1998,"VA41A",NA
"740",1998,"VA42A",NA
"741",1998,"VA45A",NA
"742",1999,"0311",4.4
"743",1999,"0317",14
"744",1999,"0321",2.35
"745",1999,"0322",3.45
"746",1999,"0430",3.4
"747",1999,"0434",6.4
"748",1999,"0438",1.5
"749",1999,"0440",4.61666666666667
"750",1999,"0442",10.25
"751",1999,"0444",4.5
"752",1999,"0446",3.6
"753",1999,"0470",4.825
"754",1999,"0474",4
"755",1999,"0478",3.775
"756",1999,"0484",3.9
"757",1999,"0631",2.95
"758",1999,"A315",9.6
"759",1999,"A320",1.6
"760",1999,"A432",4
"761",1999,"A456",4.35
"762",1999,"A499",3.05
"763",1999,"A617",2.05
"764",1999,"A620",1.75
"765",1999,"A630",7.55
"766",1999,"A680",3.35
"767",1999,"A685",2.15
"768",1999,"A690",1.625
"769",1999,"B484",3.3
"770",1999,"C320",1
"771",1999,"C370",2.9
"772",1999,"D320",1.425
"773",1999,"G320",1.85
"774",1999,"KSHZ06",2.95
"775",1999,"KTHA03",4.65
"776",1999,"N484",2.3
"777",1999,"VA12A",NA
"778",1999,"VA41A",NA
"779",1999,"VA42A",NA
"780",1999,"VA45A",NA
"781",2000,"0311",3.8
"782",2000,"0317",16.75
"783",2000,"0321",3.48333333333333
"784",2000,"0322",2.15
"785",2000,"0430",2.9
"786",2000,"0434",3.9
"787",2000,"0438",1.65
"788",2000,"0440",6.8
"789",2000,"0442",5.25
"790",2000,"0444",4.9
"791",2000,"0446",8.6
"792",2000,"0470",4.1
"793",2000,"0474",4.6
"794",2000,"0478",4.4
"795",2000,"0484",5.2
"796",2000,"0631",4.2
"797",2000,"A315",9.175
"798",2000,"A320",1.875
"799",2000,"A432",5.4
"800",2000,"A456",7.15
"801",2000,"A499",4.8
"802",2000,"A617",3.25
"803",2000,"A620",3.05
"804",2000,"A630",9.8
"805",2000,"A680",3.05
"806",2000,"A685",2.2
"807",2000,"A690",1.65
"808",2000,"B484",3.05
"809",2000,"C320",1.3
"810",2000,"C370",6.35
"811",2000,"D320",1.6
"812",2000,"G320",2.55
"813",2000,"KSHZ06",3.8
"814",2000,"KTHA03",2
"815",2000,"N484",2.6
"816",2000,"VA12A",NA
"817",2000,"VA41A",NA
"818",2000,"VA42A",NA
"819",2000,"VA45A",NA
"820",2001,"0311",2.46
"821",2001,"0317",16.1
"822",2001,"0321",3
"823",2001,"0322",2.705
"824",2001,"0430",5.635
"825",2001,"0434",4.425
"826",2001,"0438",1.7025
"827",2001,"0440",1.83
"828",2001,"0442",3.22
"829",2001,"0444",4.2
"830",2001,"0446",2.09
"831",2001,"0470",2.7
"832",2001,"0474",3.65
"833",2001,"0478",3.83
"834",2001,"0484",4.14
