"","Year","Locator","pH"
"609",1995,"A630",7.2575
"610",1995,"A680",7.305
"611",1995,"A685",NA
"612",1995,"A690",7.53
"613",1995,"B484",7.0625
"614",1995,"C320",7.34
"615",1995,"C370",7.85
"616",1995,"D320",7.42
"617",1995,"G320",7.49
"618",1995,"KSHZ06",7.955
"619",1995,"KTHA03",8.09
"620",1995,"N484",7.5625
"621",1995,"VA12A",NA
"622",1995,"VA41A",NA
"623",1995,"VA42A",NA
"624",1995,"VA45A",NA
"625",1996,"0311",7
"626",1996,"0317",6.80666666666667
"627",1996,"0321",7.5
"628",1996,"0322",7.65875
"629",1996,"0430",7.59333333333333
"630",1996,"0434",7.49916666666667
"631",1996,"0438",NA
"632",1996,"0440",7.54666666666667
"633",1996,"0442",7.88
"634",1996,"0444",7.17666666666667
"635",1996,"0446",7.29
"636",1996,"0470",7.26
"637",1996,"0474",7.55
"638",1996,"0478",7.56
"639",1996,"0484",7.215
"640",1996,"0631",7.36
"641",1996,"A315",6.995
"642",1996,"A320",7.5475
"643",1996,"A432",7.65166666666667
"644",1996,"A456",7.28
"645",1996,"A499",7.785
"646",1996,"A617",7.7475
"647",1996,"A620",7.895
"648",1996,"A630",7.175
"649",1996,"A680",7.505
"650",1996,"A685",7.62
"651",1996,"A690",7.56
"652",1996,"B484",7.105
"653",1996,"C320",7.44
"654",1996,"C370",8.125
"655",1996,"D320",7.31
"656",1996,"G320",7.33
"657",1996,"KSHZ06",7.86
"658",1996,"KTHA03",8.05
"659",1996,"N484",7.56
"660",1996,"VA12A",NA
"661",1996,"VA41A",NA
"662",1996,"VA42A",NA
"663",1996,"VA45A",NA
"664",1997,"0311",7.2
"665",1997,"0317",6.95
"666",1997,"0321",7.46
"667",1997,"0322",7.7
"668",1997,"0430",7.7
"669",1997,"0434",7.67
"670",1997,"0438",7.5
"671",1997,"0440",7.8
"672",1997,"0442",8
"673",1997,"0444",7.4
"674",1997,"0446",7.555
"675",1997,"0470",7.4
"676",1997,"0474",7.6
"677",1997,"0478",7.49
