"","Year","Locator","μg/L"
"738",1998,"VA12A",NA
"739",1998,"VA41A",NA
"740",1998,"VA42A",NA
"741",1998,"VA45A",NA
"742",1999,"0311",36.2
"743",1999,"0317",164
"744",1999,"0321",122
"745",1999,"0322",16
"746",1999,"0430",16.5
"747",1999,"0434",40.55
"748",1999,"0438",11.75
"749",1999,"0440",11.5
"750",1999,"0442",12.5
"751",1999,"0444",21.75
"752",1999,"0446",22.9
"753",1999,"0470",17.15
"754",1999,"0474",21.475
"755",1999,"0478",26.25
"756",1999,"0484",18.1
"757",1999,"0631",14.5
"758",1999,"A315",56.725
"759",1999,"A320",12.5
"760",1999,"A432",21.95
"761",1999,"A456",34.65
"762",1999,"A499",14
"763",1999,"A617",10
"764",1999,"A620",19.1
"765",1999,"A630",53.075
"766",1999,"A680",17.5
"767",1999,"A685",10
"768",1999,"A690",10
"769",1999,"B484",11.5
"770",1999,"C320",11
"771",1999,"C370",24
"772",1999,"D320",10
"773",1999,"G320",10
"774",1999,"KSHZ06",14
"775",1999,"KTHA03",10.5
"776",1999,"N484",20.75
"777",1999,"VA12A",NA
"778",1999,"VA41A",NA
"779",1999,"VA42A",NA
"780",1999,"VA45A",NA
"781",2000,"0311",18
"782",2000,"0317",127.5
"783",2000,"0321",73.9625
"784",2000,"0322",19.15
"785",2000,"0430",16
"786",2000,"0434",33.3
"787",2000,"0438",13.5
"788",2000,"0440",13.5
"789",2000,"0442",10
"790",2000,"0444",19.2
"791",2000,"0446",20
"792",2000,"0470",18.8333333333333
"793",2000,"0474",24.7
"794",2000,"0478",23.5
"795",2000,"0484",19
"796",2000,"0631",15.25
"797",2000,"A315",53.3
"798",2000,"A320",11
"799",2000,"A432",19
"800",2000,"A456",39.7
"801",2000,"A499",12
"802",2000,"A617",10
"803",2000,"A620",20.8
"804",2000,"A630",57.3
"805",2000,"A680",15.75
"806",2000,"A685",10
"807",2000,"A690",10
"808",2000,"B484",13
"809",2000,"C320",10
"810",2000,"C370",25.15
"811",2000,"D320",10
"812",2000,"G320",11.5
"813",2000,"KSHZ06",21.1
"814",2000,"KTHA03",10
"815",2000,"N484",25.2
"816",2000,"VA12A",NA
"817",2000,"VA41A",NA
"818",2000,"VA42A",NA
"819",2000,"VA45A",NA
"820",2001,"0311",28.2
"821",2001,"0317",168.3125
"822",2001,"0321",76.7
"823",2001,"0322",12
"824",2001,"0430",13.8875
"825",2001,"0434",27.675
"826",2001,"0438",21.5
"827",2001,"0440",11
"828",2001,"0442",12
"829",2001,"0444",24.3
"830",2001,"0446",19.8
"831",2001,"0470",20.45
"832",2001,"0474",28.95
"833",2001,"0478",25.825
"834",2001,"0484",20.3
"835",2001,"0631",20.625
"836",2001,"A315",56.35
"837",2001,"A320",11.5
"838",2001,"A432",19.7625
"839",2001,"A456",41.55
"840",2001,"A499",12
"841",2001,"A617",10
"842",2001,"A620",17.1625
"843",2001,"A630",91.25
"844",2001,"A680",17.5
"845",2001,"A685",10
"846",2001,"A690",10
"847",2001,"B484",17
"848",2001,"C320",10
"849",2001,"C370",32.75
"850",2001,"D320",10
"851",2001,"G320",11
"852",2001,"KSHZ06",11
"853",2001,"KTHA03",10
"854",2001,"N484",11
"855",2001,"VA12A",NA
"856",2001,"VA41A",NA
"857",2001,"VA42A",NA
"858",2001,"VA45A",NA
"859",2002,"0311",18.2
"860",2002,"0317",162.5
"861",2002,"0321",70.25
"862",2002,"0322",14.5
"863",2002,"0430",13
"864",2002,"0434",35.6
"865",2002,"0438",13.5
"866",2002,"0440",13
"867",2002,"0442",17.7
"868",2002,"0444",23.4
"869",2002,"0446",25.85
"870",2002,"0470",22.85
"871",2002,"0474",18.5
"872",2002,"0478",23.125
"873",2002,"0484",14.5
"874",2002,"0631",15.5
"875",2002,"A315",70.9
"876",2002,"A320",12
"877",2002,"A432",22.45
"878",2002,"A456",35.7
"879",2002,"A499",14
"880",2002,"A617",10
"881",2002,"A620",23.9
"882",2002,"A630",82.1
"883",2002,"A680",14.5
"884",2002,"A685",10
"885",2002,"A690",10
"886",2002,"B484",15.5
"887",2002,"C320",11.75
"888",2002,"C370",31.9
"889",2002,"D320",11
"890",2002,"G320",14.5
"891",2002,"KSHZ06",13.5
"892",2002,"KTHA03",10
"893",2002,"N484",13.5
"894",2002,"VA12A",NA
"895",2002,"VA41A",NA
"896",2002,"VA42A",NA
"897",2002,"VA45A",NA
"898",2003,"0311",29.65
"899",2003,"0317",206
"900",2003,"0321",63.45
"901",2003,"0322",12.75
"902",2003,"0430",11.75
"903",2003,"0434",26.35
"904",2003,"0438",18.5
"905",2003,"0440",12.5
"906",2003,"0442",11
"907",2003,"0444",20.7333333333333
"908",2003,"0446",18
"909",2003,"0470",20.55
"910",2003,"0474",22.75
"911",2003,"0478",24
"912",2003,"0484",16
"913",2003,"0631",15
"914",2003,"A315",42.55
"915",2003,"A320",11.3333333333333
"916",2003,"A432",15
"917",2003,"A456",42.6
"918",2003,"A499",13.5
"919",2003,"A617",10
"920",2003,"A620",16.5
"921",2003,"A630",91.9
"922",2003,"A680",19
"923",2003,"A685",10
"924",2003,"A690",10
"925",2003,"B484",17
"926",2003,"C320",11.5
"927",2003,"C370",34.1
"928",2003,"D320",10
"929",2003,"G320",14
"930",2003,"KSHZ06",11
"931",2003,"KTHA03",11
"932",2003,"N484",18
"933",2003,"VA12A",NA
"934",2003,"VA41A",NA
"935",2003,"VA42A",NA
"936",2003,"VA45A",NA
"937",2004,"0311",20
"938",2004,"0317",192.775
"939",2004,"0321",68.9
"940",2004,"0322",10.8333333333333
"941",2004,"0430",17
"942",2004,"0434",32.925
"943",2004,"0438",16
"944",2004,"0440",12
"945",2004,"0442",10.5
"946",2004,"0444",23.825
"947",2004,"0446",19
"948",2004,"0470",16.5
"949",2004,"0474",20.175
"950",2004,"0478",18.5
"951",2004,"0484",15
"952",2004,"0631",14
"953",2004,"A315",36.525
"954",2004,"A320",11.5
"955",2004,"A432",18
"956",2004,"A456",34.15
"957",2004,"A499",13
"958",2004,"A617",10
"959",2004,"A620",19.55
"960",2004,"A630",79.6
"961",2004,"A680",19.075
"962",2004,"A685",10
"963",2004,"A690",10
"964",2004,"B484",13
"965",2004,"C320",12
"966",2004,"C370",40.7
"967",2004,"D320",10
"968",2004,"G320",14
"969",2004,"KSHZ06",11.5
"970",2004,"KTHA03",10
"971",2004,"N484",20.7
"972",2004,"VA12A",NA
"973",2004,"VA41A",NA
"974",2004,"VA42A",NA
"975",2004,"VA45A",NA
"976",2005,"0311",30.9
"977",2005,"0317",172.5
"978",2005,"0321",125.5
"979",2005,"0322",10
"980",2005,"0430",14.5
"981",2005,"0434",34.9
"982",2005,"0438",22.9
"983",2005,"0440",11
"984",2005,"0442",10
"985",2005,"0444",27.75
"986",2005,"0446",15.25
"987",2005,"0470",16.5
"988",2005,"0474",19.3
"989",2005,"0478",18.2
"990",2005,"0484",16.5
"991",2005,"0631",18.5
"992",2005,"A315",50.6
"993",2005,"A320",10
"994",2005,"A432",13.5
"995",2005,"A456",40.85
"996",2005,"A499",10
"997",2005,"A617",10
"998",2005,"A620",17
"999",2005,"A630",77.3
"1000",2005,"A680",15
"1001",2005,"A685",10
"1002",2005,"A690",10
"1003",2005,"B484",14
"1004",2005,"C320",10
"1005",2005,"C370",22.85
"1006",2005,"D320",10
"1007",2005,"G320",10
"1008",2005,"KSHZ06",10
"1009",2005,"KTHA03",10
"1010",2005,"N484",12.5
"1011",2005,"VA12A",NA
"1012",2005,"VA41A",NA
"1013",2005,"VA42A",NA
"1014",2005,"VA45A",NA
"1015",2006,"0311",31.5
"1016",2006,"0317",189.5
"1017",2006,"0321",82.75
"1018",2006,"0322",13.5
"1019",2006,"0430",12.75
"1020",2006,"0434",31.025
"1021",2006,"0438",14
"1022",2006,"0440",10
"1023",2006,"0442",10
"1024",2006,"0444",23
"1025",2006,"0446",57.95
"1026",2006,"0470",19.8
"1027",2006,"0474",23.625
"1028",2006,"0478",20.6
"1029",2006,"0484",13.75
"1030",2006,"0631",15.5
"1031",2006,"A315",51.2
"1032",2006,"A320",10
"1033",2006,"A432",15.375
"1034",2006,"A456",41.325
"1035",2006,"A499",11.25
